ID,Title,Source Name,Source URL,Article URL,Published Date,Scraped Date,Relevance Score,Content Preview
274,"NBA DFS picks: FanDuel, DraftKings daily Fantasy basketball advice for Thunder vs. Pacers, NBA Finals Game 6","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/nba/news/nba-dfs-picks-fanduel-draftkings-daily-fantasy-basketball-advice-for-thunder-vs-pacers-nba-finals-game-6/","2025-06-19T17:39:40.000Z","2025-06-19T18:44:13.177Z",80,"SportsLine expert Jimmie Kaylor gives optimal Showdown NBA DFS lineup advice for Game 6 of the NBA Finals 2025 on Thursday..."
273,"Eagles All-Quarter Century Team snubs: Dallas Goedert, Jake Elliott omitted from 53-man roster","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/nfl/news/eagles-all-quarter-century-team-snubs-dallas-goedert-jake-elliott-omitted-from-53-man-roster/","2025-06-19T17:54:16.000Z","2025-06-19T18:44:13.147Z",50,"These players were left off the quarter-century team..."
272,"Inter Miami vs. Porto odds, prediction, time: Free 2025 FIFA Club World Cup expert picks for Thursday, June 19","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/soccer/news/inter-miami-vs-porto-odds-prediction-time-free-2025-fifa-club-world-cup-expert-picks-for-thursday-june-19/","2025-06-19T18:00:31.000Z","2025-06-19T18:44:13.122Z",60,"SportsLine's Martin Green reveals his Club World Cup final picks for Porto vs. Messi and Inter Miami on Thursday..."
271,"Jon Jones says he couldn't 'care less about fighting' right now as UFC, Tom Aspinall continue to wait","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/mma/news/jon-jones-says-he-couldnt-care-less-about-fighting-right-now-as-ufc-tom-aspinall-continue-to-wait/","2025-06-19T18:11:55.000Z","2025-06-19T18:44:13.095Z",50,"Jones walked off the interview when asked about fighting Aspinall..."
270,"Free MLB picks, predictions, best bets for Thursday, June 19: This three-leg baseball parlay pays almost 5-1","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/betting/news/free-mlb-picks-predictions-best-bets-for-thursday-june-19-this-three-leg-baseball-parlay-pays-almost-5-1/","2025-06-19T18:25:00.000Z","2025-06-19T18:44:13.071Z",60,"SportsLine's model has revealed its three-leg MLB parlay picks and best bets for the Thursday MLB schedule..."
269,"Books We Think You Should Read This Summer","Defector","https://defector.com/","https://defector.com/books-we-think-you-should-read-this-summer","2025-06-18T17:14:43.000Z","2025-06-19T18:44:11.394Z",50,"Summer happens slowly, then all at once: longer nights, a drink on the porch followed by one more, the trickle then flood of every publication writing (or getting AI to write) a list of summer books y..."
268,"Will The Yankees Ever Score Another Run? No","Defector","https://defector.com/","https://defector.com/will-the-yankees-ever-score-another-run-no","2025-06-18T17:34:14.000Z","2025-06-19T18:44:11.370Z",50,"Some good news: The New York Yankees have now been shut out for three games in a row. This is in spite of mitigating factors such as facing the ""Los Angeles"" Angels of Anaheim and being newly Giancarl..."
267,"The WNBA Had Too Much Going On Last Night","Defector","https://defector.com/","https://defector.com/the-wnba-had-too-much-going-on-last-night","2025-06-18T18:53:26.000Z","2025-06-19T18:44:11.343Z",60,"“Wow,” Kahleah Copper tweeted yesterday evening. She was the rare WNBA player with the time to post and spectate on Wednesday. The final day of the group play stage of the league’s in-season Commissio..."
266,"Meet The Civil Servants Under Attack By The Trump Administration","Defector","https://defector.com/","https://defector.com/meet-the-civil-servants-under-attack-by-the-trump-administration","2025-06-19T13:00:00.000Z","2025-06-19T18:44:11.319Z",50,"Soon after inauguration, he Trump administration announced plans to slash the size of the federal government, seemingly by any means necessary. The administration enlisted Elon Musk's Department of Go..."
265,"Your Juneteenth Open Thread","Defector","https://defector.com/","https://defector.com/your-juneteenth-open-thread","2025-06-19T13:08:09.000Z","2025-06-19T18:44:11.295Z",50,"It’s a holiday, and you won’t be seeing much of us today. Consider this your space to talk about the news, your summer plans, tonight’s Game 6, or anything else you wanna blab about. We’ll be back tom..."
264,"Giants' Abdul Carter lands on All-Rookie Team, named an instant impact player","Yahoo Sports","https://sports.yahoo.com/","https://giantswire.usatoday.com/story/sports/nfl/giants/2025/06/19/new-york-giants-abdul-carter-all-rookie-team-named-instant-impact-player/84274097007/","2025-06-19T18:30:18.000Z","2025-06-19T18:44:10.956Z",50,"New York Giants edge rusher Abdul Carter landed on the NFL's All-Rookie Team ahead of the 2025 season, and is named an instant impact player...."
263,"Austin Eckroat opens Travelers with 62 to grab early lead at TPC River Highlands","Yahoo Sports","https://sports.yahoo.com/","https://golfweek.usatoday.com/story/sports/golf/pga/2025/06/19/travelers-championship-2025-scores-first-round-austin-eckroat/84275800007/","2025-06-19T18:30:23.000Z","2025-06-19T18:44:10.931Z",50,"The former Oklahoma State standout has been close to shooting low scores for months, and Thursday at TPC River Highlands, he broke through...."
262,"ESPN Experts Make Bold Prediction About Pacers' Game 6 Finals Chances","Yahoo Sports","https://sports.yahoo.com/","https://athlonsports.com/nba/indiana-pacers/espn-experts-make-bold-prediction-about-pacers-game-6-finals-chances","2025-06-19T18:31:14.000Z","2025-06-19T18:44:10.906Z",60,"A panel of NBA insiders has made a huge prediction about Indiana's odds in a must-win Game 6...."
261,"The Jacob Fearnley train continues at speed as British No 2 seals career-first at Queen’s","Yahoo Sports","https://sports.yahoo.com/","https://www.independent.co.uk/sport/tennis/jacob-fearnley-queens-wimbledon-b2773317.html","2025-06-19T16:17:18.000Z","2025-06-19T18:44:10.881Z",50,"Fearnley, ranked outside the top 500 just over a year ago, overcame the awkward Corentin Moutet in west London to reach a first ATP tour quarter-final..."
260,"As high school flag football grows, NFHS releases official rule book for sport","Yahoo Sports","https://sports.yahoo.com/","https://www.usatodayhss.com/story/sports/high-school/flag-football/2025/06/19/nfhs-releases-official-rule-book-for-flag-football/84275499007/","2025-06-19T18:35:09.000Z","2025-06-19T18:44:10.858Z",50,"Flag football, sanctioned in 16 states as the sport has added hundreds of thousands of players in recent years, now has official NFHS rules...."
259,"Chiefs top pick Simmons to be full-go for camp","ESPN","https://www.espn.com/","https://www.espn.com/nfl/story/_/id/45544368/chiefs-top-pick-josh-simmons-ready-camp-andy-reid-says","2025-06-19T19:25:58.000Z","2025-06-19T18:44:08.701Z",50,"Chiefs first-round draft pick Josh Simmons will be ready to go when training camp begins after having surgery for a torn patellar injury last season at Ohio State, Andy Reid said Thursday...."
258,"Ohtani to pitch against Nationals on Sunday","ESPN","https://www.espn.com/","https://www.espn.com/mlb/story/_/id/45544904/dodgers-shohei-ohtani-pitch-vs-nationals-sunday","2025-06-19T19:25:59.000Z","2025-06-19T18:44:08.676Z",50,"Shohei Ohtani will next pitch for the Los Angeles Dodgers on Sunday against the Washington Nationals...."
257,"Gauff drops first match since French Open title","ESPN","https://www.espn.com/","https://www.espn.com/tennis/story/_/id/45544950/coco-gauff-loses-first-match-french-open-title","2025-06-19T19:25:58.000Z","2025-06-19T18:44:08.652Z",50,"Newly crowned French Open champion Coco Gauff was stunned in her return to action, losing to Chinese qualifier Wang Xinyu 6-3, 6-3 at the Berlin Open...."
256,"Sources: Udoka joins tier of top-paid coaches","ESPN","https://www.espn.com/","https://www.espn.com/nba/story/_/id/45538712/sources-rockets-ime-udoka-agree-long-term-extension","2025-06-19T19:25:58.000Z","2025-06-19T18:44:08.628Z",50,"Rockets coach Ime Udoka has agreed to a long-term contract extension that makes him one of the highest-paid coaches in the NBA, sources told ESPN...."
255,"'You know that's not normal, right?': Inside the rise of Pete Crow-Armstrong, MLB's next superstar","ESPN","https://www.espn.com/","https://www.espn.com/mlb/story/_/id/45524564/mlb-2025-pete-crow-armstrong-chicago-cubs-rising-star","2025-06-19T19:28:32.000Z","2025-06-19T18:44:08.574Z",60,"From flag football to Wrigley Field, PCA has been turning heads with his talent, energy and personality since he was a kid...."
254,"Ranking top Duke freshmen of all-time: Cooper Flagg, Zion Williamson among Blue Devils best first-year stars","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/college-basketball/news/ranking-top-duke-freshmen-of-all-time-cooper-flagg-zion-williamson-among-blue-devils-best-first-year-stars/","2025-06-18T14:36:19.000Z","2025-06-18T15:28:43.101Z",50,"Coach K has his opinion on the best freshmen to play for Duke and now we have ours..."
