ID,Title,Source Name,Source URL,Article URL,Published Date,Scraped Date,Relevance Score,Content Preview
254,"Ranking top Duke freshmen of all-time: Cooper Flagg, Zion Williamson among Blue Devils best first-year stars","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/college-basketball/news/ranking-top-duke-freshmen-of-all-time-cooper-flagg-zion-williamson-among-blue-devils-best-first-year-stars/","2025-06-18T14:36:19.000Z","2025-06-18T15:28:43.101Z",50,"Coach K has his opinion on the best freshmen to play for Duke and now we have ours..."
253,"2025 NBA Finals odds, Game 6 prediction: Thunder vs. Pacers picks, best bets from NBA expert on 167-91 run","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/nba/news/2025-nba-finals-odds-game-6-prediction-thunder-vs-pacers-picks-best-bets-from-nba-expert-on-167-91-run/","2025-06-18T14:43:45.000Z","2025-06-18T15:28:43.040Z",70,"SportsLine expert Matt Severance reveals his NBA bets and predictions for Thursday's Game 6 of Oklahoma City Thunder vs. Indiana Pacers in the NBA Finals 2025..."
252,"Tyrese Haliburton injury: Pacers' Rick Carlisle updates status for star guard ahead of NBA Finals Game 6","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/nba/news/tyrese-haliburton-injury-pacers-rick-carlisle-updates-status-for-star-guard-ahead-of-nba-finals-game-6/","2025-06-18T14:44:24.000Z","2025-06-18T15:28:42.978Z",80,"Haliburton is dealing with a calf injury, and it's unclear if he'll play in the must-win game..."
251,"Fantasy Football Rankings 2025: Sleepers by NFL model that predicted James Cook's monster year","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/fantasy/football/news/fantasy-football-rankings-2025-sleepers-by-nfl-model-that-predicted-james-cooks-monster-year/","2025-06-18T14:44:06.000Z","2025-06-18T15:28:42.919Z",60,"SportsLine simulated the NFL season 10,000 times and revealed its 2025 Fantasy football sleepers for 2025 Fantasy football draft prep..."
250,"Travelers Championship 2025 odds, golf picks, predictions, props, date: PGA expert backs Robert MacIntyre","CBS Sports","https://www.cbssports.com/","https://www.cbssports.com/golf/news/travelers-championship-2025-odds-golf-picks-predictions-props-date-pga-expert-backs-robert-macintyre/","2025-06-18T14:48:12.000Z","2025-06-18T15:28:42.860Z",60,"When is the Travelers Championship 2025? The Travelers Championship begins on Thursday from TPC River Highlands in Connecticut..."
249,"The Panthers Grind All Before Them To Dust","Defector","https://defector.com/","https://defector.com/the-panthers-grind-all-before-them-to-dust","2025-06-18T13:04:55.000Z","2025-06-18T15:28:40.487Z",50,"The Panthers are the reason your favorite team stinks. Not because they've ruined all those other teams' records, though they have, but because Florida has successfully built what every front office i..."
248,"It’s Getting Dark In Edmonton","Defector","https://defector.com/","https://defector.com/its-getting-dark-edmonton-oilers","2025-06-18T13:34:24.000Z","2025-06-18T15:28:40.427Z",50,"Only two teams have ever lost three consecutive Stanley Cup Finals, and they were both under special and antediluvian circumstances. The 1938–40 Toronto Maple Leafs managed it when the National Hockey..."
247,"Against The Day","Defector","https://defector.com/","https://defector.com/against-the-day","2025-06-18T14:11:23.000Z","2025-06-18T15:28:40.365Z",50,"There are some things you can learn about fascism before you actually learn them during fascism, and there are others that you can only learn through experience. The fundamental instability of fascist..."
246,"Each William Langewiesche Disaster Story Was An Event In Itself","Defector","https://defector.com/","https://defector.com/each-william-langewiesche-disaster-story-was-an-event-in-itself","2025-06-18T14:45:17.000Z","2025-06-18T15:28:40.290Z",50,"William Langewiesche died on Sunday. He was a damn titan. Langewiesche hit his stride in longform magazine journalism round about 1998, applying the concept of system accidents to the downing of Value..."
245,"Toward A Theory Of Kevin Roose","Defector","https://defector.com/","https://defector.com/toward-a-theory-of-kevin-roose","2025-06-18T15:15:30.000Z","2025-06-18T15:28:40.230Z",50,"""You can't be a serious critic,"" New York Times technology reporter Kevin Roose wrote on Tuesday, on Bluesky, about artificial intelligence, ""if you're in denial about how useful it is."" Narrowly, in..."
244,"Sooners announce SEC opponents for 2025-26 season","Yahoo Sports","https://sports.yahoo.com/","https://oklahoma.rivals.com/news/sooners-announce-sec-opponents-for-2025-26-season?yptr=yahoo","2025-06-18T15:14:54.000Z","2025-06-18T15:28:39.886Z",50,"The Oklahoma men's basketball team announced its SEC opponents for the 2025-26 season on Wednesday...."
243,"Sean Payton thinks Broncos are helping Bo Nix by building a good defense","Yahoo Sports","https://sports.yahoo.com/","https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/sean-payton-thinks-broncos-are-helping-bo-nix-by-building-a-good-defense","2025-06-18T15:15:00.000Z","2025-06-18T15:28:39.827Z",50,"Broncos coach Sean Payton said recently that he thinks his team can have ""a real good defense"" this season...."
242,"Padres at Dodgers Prediction: Odds, expert picks, starting pitchers, betting trends and stats for June 18","Yahoo Sports","https://sports.yahoo.com/","https://www.nbcsports.com/betting/mlb/news/padres-at-dodgers-prediction-odds-expert-picks-starting-pitchers-betting-trends-and-stats-for-june-18","2025-06-18T15:16:38.000Z","2025-06-18T15:28:39.767Z",50,"San Diego Padres at Los Angeles Dodgers Preview..."
241,"Arkansas&#39; 2025-26 SEC basketball opponents announced","Yahoo Sports","https://sports.yahoo.com/","https://arkansas.rivals.com/news/arkansas-2025-26-sec-basketball-opponents-announced?yptr=yahoo","2025-06-18T15:18:56.000Z","2025-06-18T15:28:39.704Z",50,"Steve Roberts-Imagn Images   The Southeastern Conference released the men's basketball home and away conference opponents for the 2025-26 season on Wednesday. Arkansas will take on Auburn, LSU and Mis..."
240,"UFC on ABC 8 commentators, broadcast plans: Michael Bisping returns from movie set","Yahoo Sports","https://sports.yahoo.com/","https://mmajunkie.usatoday.com/story/sports/ufc/2025/06/18/ufc-on-abc-8-baku-commentators-broadcast-plans-michael-bisping-returns-movie-set/84257634007/","2025-06-18T15:20:19.000Z","2025-06-18T15:28:39.643Z",50,"The UFC Baku broadcast will see Michael Bisping call his first event in more than a month...."
